Plot_ID,Owner_Name,Father_Name,Survey_No,Gat_No,Area,Land_Type,Village,Taluka,District,State,Ownership_Type,No_of_Owners,Crop_Type,Irrigation_Source,Encumbrances,Mutation_Entry_No,Date_of_Mutation,Purchase_Value,Market_Value,Transaction_Type,Registration_No,Aadhaar_No,PAN_No,Contact_No,Address,Latitude,Longitude,Soil_Type,Fertility_Status,Ownership_Status,Land_Use,Tax_Status,Remarks,Last_Updated
PLOT001,Neelofar Sinha,Saira Jadhav,817/A,375,8.45,Non-Agricultural,Etawah,Rahuri,Kolhapur,Maharashtra,Single,1,Fallow,Rainfed,Mortgage,M2736,2022-09-07,₹283334,₹1634978,Inheritance,R9628,XXXX-XXXX-8111,MKOPZ3342V,+915930632884,"H.No. 149, Kunda Path, Unnao 881741",19.7362,75.6147,Black Cotton,Low,Active,Fallow,Unpaid,Partially cultivated,2025-02-02
PLOT002,Diya Kapadia,Rasha Shinde,284/C,745,6.94,Agricultural,Hosur,Karmala,Solapur,Maharashtra,Joint,2,Wheat,Borewell,Bank Loan,M2070,2023-04-09,₹577446,₹1261805,Gift,R1247,XXXX-XXXX-5701,MPKPI5052W,+913627826259,"H.No. 44, Bhardwaj Zila, Katni 229427",19.4272,74.0621,Laterite,Fertile,Disputed,Crop,Paid,Dryland,2025-02-25
PLOT003,Ranbir Madan,Yashvi Patil,566/B,681,0.61,Agricultural,Rourkela,Rahuri,Nashik,Maharashtra,Joint,4,Cotton,Borewell,None,M3045,2022-08-18,₹517964,₹1746155,Gift,R2196,XXXX-XXXX-4299,FYPPQ0257P,02483223676,"55/955, Lad Road, Sangli-Miraj & Kupwad 591822",17.0045,75.8464,Sandy,Low,Disputed,Crop,Unpaid,Dryland,2025-08-29
PLOT004,Ivan Bahl,Riya Kadam,221/B,989,3.7,Non-Agricultural,Moradabad,Karjat,Beed,Maharashtra,Joint,3,Paddy,Rainfed,Bank Loan,M9340,2020-12-11,₹693697,₹1760747,Gift,R9071,XXXX-XXXX-6852,JTJPJ3646N,3732212210,"H.No. 817, Dhaliwal Street, Alwar 723700",19.8593,75.7843,Sandy,Fertile,Disputed,Crop,Paid,Under observation,2025-09-20
PLOT005,Oorja Rajagopalan,Pihu Patil,292/B,239,9.92,Agricultural,Srikakulam,Beed,Ahmednagar,Maharashtra,Joint,3,Fallow,Borewell,Bank Loan,M7930,2021-09-25,₹670792,₹1940248,Gift,R8600,XXXX-XXXX-3994,KJAPH0848O,06658605369,"86/52, Chakrabarti Path, Dibrugarh-070725",19.6158,75.3028,Alluvial,Medium,Active,Residential,Unpaid,Dryland,2025-01-09
PLOT006,Nakul Dhar,Adira Shinde,866/C,720,6.2,Agricultural,Aurangabad,Pandharpur,Ahmednagar,Maharashtra,Single,1,Soybean,Borewell,None,M7901,2025-06-04,₹295189,₹1744867,Inheritance,R6063,XXXX-XXXX-2691,UQDPO7069D,07659183776,"H.No. 88, Mani Marg, Pimpri-Chinchwad 105417",18.9186,73.6535,Alluvial,Medium,Active,Fallow,Paid,Irrigated area,2024-10-27
PLOT007,Hunar Gole,Ela Kadam,315/C,155,8.64,Non-Agricultural,Sangli-Miraj & Kupwad,Pandharpur,Pune,Maharashtra,Joint,2,Sugarcane,Rainfed,Bank Loan,M4824,2022-07-26,₹530571,₹1049075,Sale,R2746,XXXX-XXXX-2889,CMTPT3574E,+913370725333,"981, Guha Zila, Raichur-917979",17.9241,73.1074,Red,Low,Disputed,Residential,Paid,Under observation,2025-05-17
PLOT008,Raunak Sarna,Charvi Patil,796/A,691,1.47,Non-Agricultural,Machilipatnam,Pandharpur,Ahmednagar,Maharashtra,Single,1,Wheat,Borewell,Bank Loan,M3961,2021-02-21,₹605526,₹1106520,Gift,R2764,XXXX-XXXX-2006,DTWPI3052Q,07372303670,"514, Tara Nagar, Madurai 797967",19.4449,73.9804,Alluvial,Fertile,Disputed,Crop,Unpaid,Dryland,2025-04-12
PLOT009,Lakshay Cherian,Jivin Patil,891/B,834,2.44,Non-Agricultural,Delhi,Sangola,Pune,Maharashtra,Single,1,Paddy,Rainfed,Bank Loan,M6677,2024-03-05,₹609094,₹1949887,Sale,R6373,XXXX-XXXX-5744,TRDPQ9534F,04067157127,"21/66, Chanda Ganj, Pallavaram 933788",18.1552,74.0133,Laterite,Medium,Active,Fallow,Unpaid,Under observation,2025-01-31
PLOT010,Tara Kara,Aayush Shinde,943/C,509,9.09,Non-Agricultural,Buxar,Beed,Kolhapur,Maharashtra,Joint,4,Fallow,Borewell,Mortgage,M3254,2025-04-21,₹393503,₹1786810,Inheritance,R2529,XXXX-XXXX-2757,AODPJ5760C,+910376203435,"07/025, Wason Path, Srikakulam 882771",18.9027,73.5144,Laterite,Low,Active,Residential,Paid,Dryland,2025-08-30
